Element Name,Windows NT,Windows,Component,Redistributable,Declaration Header,Include Header,Library,GUID,GUID Macro,Unicode,Element Type
ACCESS_MODE,Windows NT 4.0 and later,,Access Control,,Accctrl.h,,,,,,enumeration
ACL_INFORMATION_CLASS,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,enumeration
AUDIT_EVENT_TYPE,Windows 2000 and later,,Access Control,,Winnt.h,Windows.h,,,,,enumeration
AUTHZ_CONTEXT_INFORMATION_CLASS,Windows XP and Windows .NET Server,,Access Control,,Authz.h,,,,,,enumeration
MULTIPLE_TRUSTEE_OPERATION,Windows NT 4.0 and later,,Access Control,,Accctrl.h,,,,,,enumeration
SE_OBJECT_TYPE,Windows NT 4.0 and later,,Access Control,,Accctrl.h,,,,,,enumeration
SECURITY_IMPERSONATION_LEVEL,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,enumeration
SI_PAGE_TYPE,Windows 2000 and later,,Access Control,,Aclui.h,,,,,,enumeration
SID_NAME_USE,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,enumeration
TOKEN_INFORMATION_CLASS,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,enumeration
TOKEN_TYPE,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,enumeration
TRUSTEE_FORM,Windows NT 4.0 and later,,Access Control,,Accctrl.h,,,,,,enumeration
TRUSTEE_TYPE,Windows NT 4.0 and later,,Access Control,,Accctrl.h,,,,,,enumeration
WELL_KNOWN_SID_TYPE,Windows XP and Windows .NET Server,,Access Control,,Winbase.h,Windows.h,,,,,enumeration
AccessCheck,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AccessCheckAndAuditAlarm,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
AccessCheckByType,Windows 2000 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AccessCheckByTypeAndAuditAlarm,Windows 2000 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
AccessCheckByTypeResultList,Windows 2000 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AccessCheckByTypeResultListAndAuditAlarm,Windows 2000 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
AccessCheckByTypeResultListAndAuditAlarmByHandle,Windows 2000 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
AddAccessAllowedAce,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AddAccessAllowedAceEx,Windows 2000 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AddAccessAllowedObjectAce,Windows 2000 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AddAccessDeniedAce,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AddAccessDeniedAceEx,Windows 2000 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AddAccessDeniedObjectAce,Windows 2000 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AddAce,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AddAuditAccessAce,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AddAuditAccessAceEx,Windows 2000 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AddAuditAccessObjectAce,Windows 2000 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AdjustTokenGroups,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AdjustTokenPrivileges,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AllocateAndInitializeSid,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AllocateLocallyUniqueId,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AreAllAccessesGranted,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AreAnyAccessesGranted,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AuthzAccessCheck,Windows XP and Windows .NET Server,,Access Control,,Authz.h,,Authz.lib,,,,function
AuthzAccessCheckCallback,Windows XP and Windows .NET Server,,Access Control,,Authz.h,,Authz.lib,,,,function
AuthzAddSidsToContext,Windows XP and Windows .NET Server,,Access Control,,Authz.h,,Authz.lib,,,,function
AuthzCachedAccessCheck,Windows XP and Windows .NET Server,,Access Control,,Authz.h,,Authz.lib,,,,function
AuthzComputeGroupsCallback,Windows XP and Windows .NET Server,,Access Control,,Authz.h,,Authz.lib,,,,function
AuthzFreeAuditEvent,Windows XP and Windows .NET Server,,Access Control,,Authz.h,,Authz.lib,,,,function
AuthzFreeAuditInfo,Windows 2000 and later,,Access Control,,Winbase.h,,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
AuthzFreeContext,Windows XP and Windows .NET Server,,Access Control,,Authz.h,,Authz.lib,,,,function
AuthzFreeGroupsCallback,Windows XP and Windows .NET Server,,Access Control,,Authz.h,,Authz.lib,,,,function
AuthzFreeHandle,Windows XP and Windows .NET Server,,Access Control,,Authz.h,,Authz.lib,,,,function
AuthzFreeResourceManager,Windows XP and Windows .NET Server,,Access Control,,Authz.h,,Authz.lib,,,,function
AuthzFreeRMAuditInfo,Windows 2000 and later,,Access Control,,Winbase.h,,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
AuthzGetContextInformation,Windows 2000 and later,,Access Control,,Winbase.h,,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
