人物名称	人物类型	资源文件路经	部件说明文件名	武器行为关联表1	武器行为关联表2	动作贴图顺序表	头部	发型	肩膀	躯体	左手	右手	左手武器	右手武器	马前	马中	马后
男主角	特殊npc	spr\npcres\man	男主角部件列表.txt	男主角未骑马关联表.txt	男主角骑马关联表.txt	男主角贴图顺序表.txt	男主角头部.txt	男主角发型.txt	男主角肩膀.txt	男主角躯体.txt	男主角左手.txt	男主角右手.txt	男主角左手武器.txt	男主角右手武器.txt	男主角马前.txt	男主角马中.txt	男主角马后.txt
女主角	特殊npc	spr\npcres\woman	女主角部件列表.txt	女主角未骑马关联表.txt	女主角骑马关联表.txt	女主角贴图顺序表.txt	女主角头部.txt	女主角发型.txt	女主角肩膀.txt	女主角躯体.txt	女主角左手.txt	女主角右手.txt	女主角左手武器.txt	女主角右手武器.txt	女主角马前.txt	女主角马中.txt	女主角马后.txt
enemy003	普通npc	spr\npcres\enemy\enemy003															
enemy004	普通npc	spr\npcres\enemy\enemy004															
enemy005	普通npc	spr\npcres\enemy\enemy005															
enemy006	普通npc	spr\npcres\enemy\enemy006															
enemy007	普通npc	spr\npcres\enemy\enemy007															
enemy015	普通npc	spr\npcres\enemy\enemy015															
enemy016	普通npc	spr\npcres\enemy\enemy016															
enemy017	普通npc	spr\npcres\enemy\enemy017															
enemy021	普通npc	spr\npcres\enemy\enemy021															
enemy022	普通npc	spr\npcres\enemy\enemy022															
enemy023	普通npc	spr\npcres\enemy\enemy023															
enemy024	普通npc	spr\npcres\enemy\enemy024															
enemy026	普通npc	spr\npcres\enemy\enemy026															
enemy028	普通npc	spr\npcres\enemy\enemy028
enemy029	普通npc	spr\npcres\enemy\enemy029
enemy031	普通npc	spr\npcres\enemy\enemy031
enemy034	普通npc	spr\npcres\enemy\enemy034
enemy036	普通npc	spr\npcres\enemy\enemy036
enemy037	普通npc	spr\npcres\enemy\enemy037
enemy038	普通npc	spr\npcres\enemy\enemy038
enemy039	普通npc	spr\npcres\enemy\enemy039
enemy040	普通npc	spr\npcres\enemy\enemy040
enemy041	普通npc	spr\npcres\enemy\enemy041
enemy042	普通npc	spr\npcres\enemy\enemy042
enemy043	普通npc	spr\npcres\enemy\enemy043
enemy044	普通npc	spr\npcres\enemy\enemy044
enemy045	普通npc	spr\npcres\enemy\enemy045
enemy046	普通npc	spr\npcres\enemy\enemy046
enemy047	普通npc	spr\npcres\enemy\enemy047
enemy048	普通npc	spr\npcres\enemy\enemy048
enemy049	普通npc	spr\npcres\enemy\enemy049
enemy050	普通npc	spr\npcres\enemy\enemy050
enemy051	普通npc	spr\npcres\enemy\enemy051
enemy052	普通npc	spr\npcres\enemy\enemy052
enemy053	普通npc	spr\npcres\enemy\enemy053
enemy054	普通npc	spr\npcres\enemy\enemy054
enemy055	普通npc	spr\npcres\enemy\enemy055
enemy056	普通npc	spr\npcres\enemy\enemy056
enemy057	普通npc	spr\npcres\enemy\enemy057
enemy058	普通npc	spr\npcres\enemy\enemy058
enemy059	普通npc	spr\npcres\enemy\enemy059
enemy060	普通npc	spr\npcres\enemy\enemy060
enemy061	普通npc	spr\npcres\enemy\enemy061
enemy062	普通npc	spr\npcres\enemy\enemy062
