装备名称	空手站立1	空手站立2	空手站立3	短武器站立	长武器站立	双武器站立	空手走路	短武器走路	长武器走路	双武器走路	空手跑步	短武器跑步	长武器跑步	双武器跑步	空手受伤	短武器受伤	长武器受伤	双武器受伤	空手死亡	短武器死亡	长武器死亡	双武器死亡	空手攻击	短武器刺	短武器砍	长武器戳	长武器劈	双武器划	双武器砸	暗器投掷	空手魔法	短武器魔法	长武器魔法	双武器魔法	打坐	跳跃	骑马站立	骑马走动	纵马扬鞭
空手	FM_LW_001_ST01.spr	FM_LW_001_ST02.spr	FM_LW_001_ST03.spr	FM_LW_001_ST04.spr	FM_LW_001_ST05.spr	FM_LW_001_ST06.spr	FM_LW_001_WK01.spr	FM_LW_001_WK02.spr	FM_LW_001_WK03.spr	FM_LW_001_WK04.spr	FM_LW_001_RN01.spr	FM_LW_001_RN02.spr	FM_LW_001_RN03.spr	FM_LW_001_RN04.spr	FM_LW_001_IJ01.spr	FM_LW_001_IJ02.spr	FM_LW_001_IJ03.spr	FM_LW_001_IJ04.spr	FM_LW_001_DE01.spr	FM_LW_001_DE02.spr	FM_LW_001_DE03.spr	FM_LW_001_DE04.spr	FM_LW_001_AT01.spr	FM_LW_001_AT02.spr	FM_LW_001_AT03.spr	FM_LW_001_AT04.spr	FM_LW_001_AT05.spr	FM_LW_001_AT06.spr	FM_LW_001_AT07.spr	FM_LW_001_MG01.spr	FM_LW_001_MG02.spr	FM_LW_001_MG03.spr	FM_LW_001_MG04.spr	FM_LW_001_MG05.spr	FM_LW_001_ZZ01.spr	FM_LW_001_JP01.spr	FM_LW_001_RD01.spr	FM_LW_001_HW01.spr	FM_LW_001_HR01.spr
暗器	FM_LW_002_ST01.spr	FM_LW_002_ST02.spr	FM_LW_002_ST03.spr	FM_LW_002_ST04.spr	FM_LW_002_ST05.spr	FM_LW_002_ST06.spr	FM_LW_002_WK01.spr	FM_LW_002_WK02.spr	FM_LW_002_WK03.spr	FM_LW_002_WK04.spr	FM_LW_002_RN01.spr	FM_LW_002_RN02.spr	FM_LW_002_RN03.spr	FM_LW_002_RN04.spr	FM_LW_002_IJ01.spr	FM_LW_002_IJ02.spr	FM_LW_002_IJ03.spr	FM_LW_002_IJ04.spr	FM_LW_002_DE01.spr	FM_LW_002_DE02.spr	FM_LW_002_DE03.spr	FM_LW_002_DE04.spr	FM_LW_002_AT01.spr	FM_LW_002_AT02.spr	FM_LW_002_AT03.spr	FM_LW_002_AT04.spr	FM_LW_002_AT05.spr	FM_LW_002_AT06.spr	FM_LW_002_AT07.spr	FM_LW_002_MG01.spr	FM_LW_002_MG02.spr	FM_LW_002_MG03.spr	FM_LW_002_MG04.spr	FM_LW_002_MG05.spr	FM_LW_002_ZZ01.spr	FM_LW_002_JP01.spr	FM_LW_002_RD01.spr	FM_LW_002_HW01.spr	FM_LW_002_HR01.spr
单手剑1	FM_LW_003_ST01.spr	FM_LW_003_ST02.spr	FM_LW_003_ST03.spr	FM_LW_003_ST04.spr	FM_LW_003_ST05.spr	FM_LW_003_ST06.spr	FM_LW_003_WK01.spr	FM_LW_003_WK02.spr	FM_LW_003_WK03.spr	FM_LW_003_WK04.spr	FM_LW_003_RN01.spr	FM_LW_003_RN02.spr	FM_LW_003_RN03.spr	FM_LW_003_RN04.spr	FM_LW_003_IJ01.spr	FM_LW_003_IJ02.spr	FM_LW_003_IJ03.spr	FM_LW_003_IJ04.spr	FM_LW_003_DE01.spr	FM_LW_003_DE02.spr	FM_LW_003_DE03.spr	FM_LW_003_DE04.spr	FM_LW_003_AT01.spr	FM_LW_003_AT02.spr	FM_LW_003_AT03.spr	FM_LW_003_AT04.spr	FM_LW_003_AT05.spr	FM_LW_003_AT06.spr	FM_LW_003_AT07.spr	FM_LW_003_MG01.spr	FM_LW_003_MG02.spr	FM_LW_003_MG03.spr	FM_LW_003_MG04.spr	FM_LW_003_MG05.spr	FM_LW_003_ZZ01.spr	FM_LW_003_JP01.spr	FM_LW_003_RD01.spr	FM_LW_003_HW01.spr	FM_LW_003_HR01.spr
单手剑2	FM_LW_004_ST01.spr	FM_LW_004_ST02.spr	FM_LW_004_ST03.spr	FM_LW_004_ST04.spr	FM_LW_004_ST05.spr	FM_LW_004_ST06.spr	FM_LW_004_WK01.spr	FM_LW_004_WK02.spr	FM_LW_004_WK03.spr	FM_LW_004_WK04.spr	FM_LW_004_RN01.spr	FM_LW_004_RN02.spr	FM_LW_004_RN03.spr	FM_LW_004_RN04.spr	FM_LW_004_IJ01.spr	FM_LW_004_IJ02.spr	FM_LW_004_IJ03.spr	FM_LW_004_IJ04.spr	FM_LW_004_DE01.spr	FM_LW_004_DE02.spr	FM_LW_004_DE03.spr	FM_LW_004_DE04.spr	FM_LW_004_AT01.spr	FM_LW_004_AT02.spr	FM_LW_004_AT03.spr	FM_LW_004_AT04.spr	FM_LW_004_AT05.spr	FM_LW_004_AT06.spr	FM_LW_004_AT07.spr	FM_LW_004_MG01.spr	FM_LW_004_MG02.spr	FM_LW_004_MG03.spr	FM_LW_004_MG04.spr	FM_LW_004_MG05.spr	FM_LW_004_ZZ01.spr	FM_LW_004_JP01.spr	FM_LW_004_RD01.spr	FM_LW_004_HW01.spr	FM_LW_004_HR01.spr
单手剑3	FM_LW_005_ST01.spr	FM_LW_005_ST02.spr	FM_LW_005_ST03.spr	FM_LW_005_ST04.spr	FM_LW_005_ST05.spr	FM_LW_005_ST06.spr	FM_LW_005_WK01.spr	FM_LW_005_WK02.spr	FM_LW_005_WK03.spr	FM_LW_005_WK04.spr	FM_LW_005_RN01.spr	FM_LW_005_RN02.spr	FM_LW_005_RN03.spr	FM_LW_005_RN04.spr	FM_LW_005_IJ01.spr	FM_LW_005_IJ02.spr	FM_LW_005_IJ03.spr	FM_LW_005_IJ04.spr	FM_LW_005_DE01.spr	FM_LW_005_DE02.spr	FM_LW_005_DE03.spr	FM_LW_005_DE04.spr	FM_LW_005_AT01.spr	FM_LW_005_AT02.spr	FM_LW_005_AT03.spr	FM_LW_005_AT04.spr	FM_LW_005_AT05.spr	FM_LW_005_AT06.spr	FM_LW_005_AT07.spr	FM_LW_005_MG01.spr	FM_LW_005_MG02.spr	FM_LW_005_MG03.spr	FM_LW_005_MG04.spr	FM_LW_005_MG05.spr	FM_LW_005_ZZ01.spr	FM_LW_005_JP01.spr	FM_LW_005_RD01.spr	FM_LW_005_HW01.spr	FM_LW_005_HR01.spr
单手刀1	FM_LW_006_ST01.spr	FM_LW_006_ST02.spr	FM_LW_006_ST03.spr	FM_LW_006_ST04.spr	FM_LW_006_ST05.spr	FM_LW_006_ST06.spr	FM_LW_006_WK01.spr	FM_LW_006_WK02.spr	FM_LW_006_WK03.spr	FM_LW_006_WK04.spr	FM_LW_006_RN01.spr	FM_LW_006_RN02.spr	FM_LW_006_RN03.spr	FM_LW_006_RN04.spr	FM_LW_006_IJ01.spr	FM_LW_006_IJ02.spr	FM_LW_006_IJ03.spr	FM_LW_006_IJ04.spr	FM_LW_006_DE01.spr	FM_LW_006_DE02.spr	FM_LW_006_DE03.spr	FM_LW_006_DE04.spr	FM_LW_006_AT01.spr	FM_LW_006_AT02.spr	FM_LW_006_AT03.spr	FM_LW_006_AT04.spr	FM_LW_006_AT05.spr	FM_LW_006_AT06.spr	FM_LW_006_AT07.spr	FM_LW_006_MG01.spr	FM_LW_006_MG02.spr	FM_LW_006_MG03.spr	FM_LW_006_MG04.spr	FM_LW_006_MG05.spr	FM_LW_006_ZZ01.spr	FM_LW_006_JP01.spr	FM_LW_006_RD01.spr	FM_LW_006_HW01.spr	FM_LW_006_HR01.spr
单手刀2	FM_LW_007_ST01.spr	FM_LW_007_ST02.spr	FM_LW_007_ST03.spr	FM_LW_007_ST04.spr	FM_LW_007_ST05.spr	FM_LW_007_ST06.spr	FM_LW_007_WK01.spr	FM_LW_007_WK02.spr	FM_LW_007_WK03.spr	FM_LW_007_WK04.spr	FM_LW_007_RN01.spr	FM_LW_007_RN02.spr	FM_LW_007_RN03.spr	FM_LW_007_RN04.spr	FM_LW_007_IJ01.spr	FM_LW_007_IJ02.spr	FM_LW_007_IJ03.spr	FM_LW_007_IJ04.spr	FM_LW_007_DE01.spr	FM_LW_007_DE02.spr	FM_LW_007_DE03.spr	FM_LW_007_DE04.spr	FM_LW_007_AT01.spr	FM_LW_007_AT02.spr	FM_LW_007_AT03.spr	FM_LW_007_AT04.spr	FM_LW_007_AT05.spr	FM_LW_007_AT06.spr	FM_LW_007_AT07.spr	FM_LW_007_MG01.spr	FM_LW_007_MG02.spr	FM_LW_007_MG03.spr	FM_LW_007_MG04.spr	FM_LW_007_MG05.spr	FM_LW_007_ZZ01.spr	FM_LW_007_JP01.spr	FM_LW_007_RD01.spr	FM_LW_007_HW01.spr	FM_LW_007_HR01.spr
单手刀3	FM_LW_008_ST01.spr	FM_LW_008_ST02.spr	FM_LW_008_ST03.spr	FM_LW_008_ST04.spr	FM_LW_008_ST05.spr	FM_LW_008_ST06.spr	FM_LW_008_WK01.spr	FM_LW_008_WK02.spr	FM_LW_008_WK03.spr	FM_LW_008_WK04.spr	FM_LW_008_RN01.spr	FM_LW_008_RN02.spr	FM_LW_008_RN03.spr	FM_LW_008_RN04.spr	FM_LW_008_IJ01.spr	FM_LW_008_IJ02.spr	FM_LW_008_IJ03.spr	FM_LW_008_IJ04.spr	FM_LW_008_DE01.spr	FM_LW_008_DE02.spr	FM_LW_008_DE03.spr	FM_LW_008_DE04.spr	FM_LW_008_AT01.spr	FM_LW_008_AT02.spr	FM_LW_008_AT03.spr	FM_LW_008_AT04.spr	FM_LW_008_AT05.spr	FM_LW_008_AT06.spr	FM_LW_008_AT07.spr	FM_LW_008_MG01.spr	FM_LW_008_MG02.spr	FM_LW_008_MG03.spr	FM_LW_008_MG04.spr	FM_LW_008_MG05.spr	FM_LW_008_ZZ01.spr	FM_LW_008_JP01.spr	FM_LW_008_RD01.spr	FM_LW_008_HW01.spr	FM_LW_008_HR01.spr
长枪类1	FM_LW_009_ST01.spr	FM_LW_009_ST02.spr	FM_LW_009_ST03.spr	FM_LW_009_ST04.spr	FM_LW_009_ST05.spr	FM_LW_009_ST06.spr	FM_LW_009_WK01.spr	FM_LW_009_WK02.spr	FM_LW_009_WK03.spr	FM_LW_009_WK04.spr	FM_LW_009_RN01.spr	FM_LW_009_RN02.spr	FM_LW_009_RN03.spr	FM_LW_009_RN04.spr	FM_LW_009_IJ01.spr	FM_LW_009_IJ02.spr	FM_LW_009_IJ03.spr	FM_LW_009_IJ04.spr	FM_LW_009_DE01.spr	FM_LW_009_DE02.spr	FM_LW_009_DE03.spr	FM_LW_009_DE04.spr	FM_LW_009_AT01.spr	FM_LW_009_AT02.spr	FM_LW_009_AT03.spr	FM_LW_009_AT04.spr	FM_LW_009_AT05.spr	FM_LW_009_AT06.spr	FM_LW_009_AT07.spr	FM_LW_009_MG01.spr	FM_LW_009_MG02.spr	FM_LW_009_MG03.spr	FM_LW_009_MG04.spr	FM_LW_009_MG05.spr	FM_LW_009_ZZ01.spr	FM_LW_009_JP01.spr	FM_LW_009_RD01.spr	FM_LW_009_HW01.spr	FM_LW_009_HR01.spr
长枪类2	FM_LW_010_ST01.spr	FM_LW_010_ST02.spr	FM_LW_010_ST03.spr	FM_LW_010_ST04.spr	FM_LW_010_ST05.spr	FM_LW_010_ST06.spr	FM_LW_010_WK01.spr	FM_LW_010_WK02.spr	FM_LW_010_WK03.spr	FM_LW_010_WK04.spr	FM_LW_010_RN01.spr	FM_LW_010_RN02.spr	FM_LW_010_RN03.spr	FM_LW_010_RN04.spr	FM_LW_010_IJ01.spr	FM_LW_010_IJ02.spr	FM_LW_010_IJ03.spr	FM_LW_010_IJ04.spr	FM_LW_010_DE01.spr	FM_LW_010_DE02.spr	FM_LW_010_DE03.spr	FM_LW_010_DE04.spr	FM_LW_010_AT01.spr	FM_LW_010_AT02.spr	FM_LW_010_AT03.spr	FM_LW_010_AT04.spr	FM_LW_010_AT05.spr	FM_LW_010_AT06.spr	FM_LW_010_AT07.spr	FM_LW_010_MG01.spr	FM_LW_010_MG02.spr	FM_LW_010_MG03.spr	FM_LW_010_MG04.spr	FM_LW_010_MG05.spr	FM_LW_010_ZZ01.spr	FM_LW_010_JP01.spr	FM_LW_010_RD01.spr	FM_LW_010_HW01.spr	FM_LW_010_HR01.spr
