武器类别	战斗站立	普通站立1	普通站立2	战斗行走	普通行走	战斗跑步	普通跑步	受伤	死亡	攻击1	攻击2	魔法	打坐	跳跃
enemy003	enemy003_st.spr	enemy003_st.spr	enemy003_pst.spr	enemy003_wlk.spr	enemy003_wlk.spr	enemy003_wlk.spr	enemy003_wlk.spr	enemy003_bat.spr	enemy003_die.spr	enemy003_at.spr	enemy003_at.spr	enemy003_at.spr		
enemy004	enemy004_st.spr	enemy004_st.spr	enemy004_pst.spr	enemy004_wlk.spr	enemy004_wlk.spr	enemy004_wlk.spr	enemy004_wlk.spr	enemy004_bat.spr	enemy004_die.spr	enemy004_at.spr	enemy004_at.spr	enemy004_at.spr		
enemy005	enemy005_st.spr	enemy005_st.spr	enemy005_pst.spr	enemy005_wlk.spr	enemy005_wlk.spr	enemy005_wlk.spr	enemy005_wlk.spr	enemy005_bat.spr	enemy005_die.spr	enemy005_at.spr	enemy005_at.spr	enemy005_at.spr		
enemy006	enemy006_st.spr	enemy006_st.spr	enemy006_pst.spr	enemy006_wlk.spr	enemy006_wlk.spr	enemy006_wlk.spr	enemy006_wlk.spr	enemy006_bat.spr	enemy006_die.spr	enemy006_at.spr	enemy006_at.spr	enemy006_at.spr		
enemy007	enemy007_st.spr	enemy007_st.spr	enemy007_pst.spr	enemy007_wlk.spr	enemy007_wlk.spr	enemy007_wlk.spr	enemy007_wlk.spr	enemy007_bat.spr	enemy007_die.spr	enemy007_at.spr	enemy007_at.spr	enemy007_at.spr		
enemy015	enemy015_st.spr	enemy015_st.spr	enemy015_pst.spr	enemy015_wlk.spr	enemy015_wlk.spr	enemy015_wlk.spr	enemy015_wlk.spr	enemy015_bat.spr	enemy015_die.spr	enemy015_at.spr	enemy015_at.spr	enemy015_at.spr		
enemy016	enemy016_st.spr	enemy016_st.spr	enemy016_pst.spr	enemy016_wlk.spr	enemy016_wlk.spr	enemy016_wlk.spr	enemy016_wlk.spr	enemy016_bat.spr	enemy016_die.spr	enemy016_at.spr	enemy016_at.spr	enemy016_at.spr		
enemy017	enemy017_st.spr	enemy017_st.spr	enemy017_pst.spr	enemy017_wlk.spr	enemy017_wlk.spr	enemy017_wlk.spr	enemy017_wlk.spr	enemy017_bat.spr	enemy017_die.spr	enemy017_at.spr	enemy017_at.spr	enemy017_at.spr		
enemy021	enemy021_st.spr	enemy021_st.spr	enemy021_pst.spr	enemy021_wlk.spr	enemy021_wlk.spr	enemy021_wlk.spr	enemy021_wlk.spr	enemy021_bat.spr	enemy021_die.spr	enemy021_at.spr	enemy021_at.spr	enemy021_at.spr		
enemy022	enemy022_st.spr	enemy022_st.spr	enemy022_pst.spr	enemy022_wlk.spr	enemy022_wlk.spr	enemy022_wlk.spr	enemy022_wlk.spr	enemy022_bat.spr	enemy022_die.spr	enemy022_at.spr	enemy022_at.spr	enemy022_at.spr		
enemy023	enemy023_st.spr	enemy023_st.spr	enemy023_pst.spr	enemy023_wlk.spr	enemy023_wlk.spr	enemy023_wlk.spr	enemy023_wlk.spr	enemy023_bat.spr	enemy023_die.spr	enemy023_at.spr	enemy023_at.spr	enemy023_at.spr		
enemy024	enemy024_st.spr	enemy024_st.spr	enemy024_pst.spr	enemy024_wlk.spr	enemy024_wlk.spr	enemy024_wlk.spr	enemy024_wlk.spr	enemy024_bat.spr	enemy024_die.spr	enemy024_at.spr	enemy024_at.spr	enemy024_at.spr		
enemy026	enemy026_st.spr	enemy026_st.spr	enemy026_pst.spr	enemy026_wlk.spr	enemy026_wlk.spr	enemy026_wlk.spr	enemy026_wlk.spr	enemy026_bat.spr	enemy026_die.spr	enemy026_at.spr	enemy026_at.spr	enemy026_at.spr		
enemy028	enemy028_st.spr	enemy028_st.spr	enemy028_pst.spr	enemy028_wlk.spr	enemy028_wlk.spr	enemy028_wlk.spr	enemy028_wlk.spr	enemy028_bat.spr	enemy028_die.spr	enemy028_at.spr	enemy028_at.spr	enemy028_at.spr		
enemy029	enemy029_st.spr	enemy029_st.spr	enemy029_pst.spr	enemy029_wlk.spr	enemy029_wlk.spr	enemy029_wlk.spr	enemy029_wlk.spr	enemy029_bat.spr	enemy029_die.spr	enemy029_at.spr	enemy029_at.spr	enemy029_at.spr		
enemy031	enemy031_st.spr	enemy031_st.spr	enemy031_pst.spr	enemy031_wlk.spr	enemy031_wlk.spr	enemy031_wlk.spr	enemy031_wlk.spr	enemy031_bat.spr	enemy031_die.spr	enemy031_at.spr	enemy031_at.spr	enemy031_at.spr
enemy034	enemy034_st.spr	enemy034_st.spr	enemy034_pst.spr	enemy034_wlk.spr	enemy034_wlk.spr	enemy034_wlk.spr	enemy034_wlk.spr	enemy034_bat.spr	enemy034_die.spr	enemy034_at.spr	enemy034_at.spr	enemy034_at.spr
enemy036	enemy036_st.spr	enemy036_st.spr	enemy036_pst.spr	enemy036_wlk.spr	enemy036_wlk.spr	enemy036_wlk.spr	enemy036_wlk.spr	enemy036_bat.spr	enemy036_die.spr	enemy036_at.spr	enemy036_at.spr	enemy036_at.spr
enemy037	enemy037_st.spr	enemy037_st.spr	enemy037_pst.spr									
enemy038	enemy038_st.spr	enemy038_st.spr	enemy038_pst.spr									
enemy039	enemy039_st.spr	enemy039_st.spr	enemy039_pst.spr									
enemy040	enemy040_st.spr	enemy040_st.spr	enemy040_pst.spr									
enemy041	enemy041_st.spr	enemy041_st.spr	enemy041_pst.spr									
enemy042	enemy042_st.spr	enemy042_st.spr	enemy042_pst.spr									
enemy043	enemy043_st.spr	enemy043_st.spr	enemy043_pst.spr									
enemy044	enemy044_st.spr	enemy044_st.spr	enemy044_pst.spr	enemy044_st.spr	enemy044_st.spr	enemy044_st.spr	enemy044_st.spr	enemy044_st.spr	enemy044_st.spr	enemy044_at.spr	enemy044_at.spr	
enemy045	enemy045_st.spr	enemy045_st.spr	enemy045_pst.spr									
enemy046	enemy046_st.spr	enemy046_st.spr	enemy046_pst.spr									
enemy047	enemy047_st.spr	enemy047_st.spr	enemy047_pst.spr									
enemy048	enemy048_st.spr	enemy048_st.spr	enemy048_pst.spr									
enemy049	enemy049_st.spr	enemy049_st.spr	enemy049_pst.spr									
enemy050	enemy050_st.spr	enemy050_st.spr	enemy050_pst.spr									
enemy051	enemy051_st.spr	enemy051_st.spr	enemy051_pst.spr									
enemy052	enemy052_st.spr	enemy052_st.spr	enemy052_pst.spr									
enemy053	enemy053_st.spr	enemy053_st.spr	enemy053_pst.spr									
enemy054	enemy054_st.spr	enemy054_st.spr	enemy054_pst.spr									
enemy055	enemy055_st.spr	enemy055_st.spr	enemy055_pst.spr									
enemy056	enemy056_st.spr	enemy056_st.spr	enemy056_pst.spr	enemy056_st.spr	enemy056_st.spr	enemy056_st.spr	enemy056_st.spr	enemy056_st.spr	enemy056_st.spr	enemy056_at.spr	enemy056_at.spr	
enemy057	enemy057_st.spr	enemy057_st.spr	enemy057_pst.spr									
enemy058	enemy058_st.spr	enemy058_st.spr	enemy058_pst.spr									
enemy059	enemy059_st.spr	enemy059_st.spr	enemy059_pst.spr									
enemy060	enemy060_st.spr	enemy060_st.spr	enemy060_pst.spr									
enemy061	enemy061_st.spr	enemy061_st.spr	enemy061_pst.spr									
enemy062	enemy062_st.spr	enemy062_st.spr	enemy062_pst.spr									
enemy063	enemy063_st.spr	enemy063_st.spr	enemy063_pst.spr									
enemy064	enemy064_st.spr	enemy064_st.spr	enemy064_pst.spr									
enemy065	enemy065_st.spr	enemy065_st.spr	enemy065_pst.spr									
enemy066	enemy066_st.spr	enemy066_st.spr	enemy066_pst.spr									
enemy067	enemy067_st.spr	enemy067_st.spr	enemy067_pst.spr									
enemy068	enemy068_st.spr	enemy068_st.spr	enemy068_pst.spr									
enemy069	enemy069_st.spr	enemy069_st.spr	enemy069_pst.spr									
enemy070	enemy070_st.spr	enemy070_st.spr	enemy070_pst.spr									
enemy071	enemy071_st.spr	enemy071_st.spr	enemy071_pst.spr									
enemy072	enemy072_st.spr	enemy072_st.spr	enemy072_pst.spr									
enemy073	enemy073_st.spr	enemy073_st.spr	enemy073_pst.spr									
enemy074	enemy074_st.spr	enemy074_st.spr	enemy074_pst.spr									
enemy075	enemy075_st.spr	enemy075_st.spr	enemy075_pst.spr									
enemy076	enemy076_st.spr	enemy076_st.spr	enemy076_pst.spr									
enemy077	enemy077_st.spr	enemy077_st.spr	enemy077_pst.spr									
enemy078	enemy078_st.spr	enemy078_st.spr	enemy078_pst.spr									
enemy079	enemy079_st.spr	enemy079_st.spr	enemy079_pst.spr									
enemy080	enemy080_st.spr	enemy080_st.spr	enemy080_pst.spr									
enemy081	enemy081_st.spr	enemy081_st.spr	enemy081_pst.spr									
enemy082	enemy082_st.spr	enemy082_st.spr	enemy082_pst.spr									
enemy083	enemy083_st.spr	enemy083_st.spr	enemy083_pst.spr									
enemy084	enemy084_st.spr	enemy084_st.spr	enemy084_pst.spr									
enemy085	enemy085_st.spr	enemy085_st.spr	enemy085_pst.spr									
enemy086	enemy086_st.spr	enemy086_st.spr	enemy086_pst.spr									
enemy087	enemy087_st.spr	enemy087_st.spr	enemy087_pst.spr									
enemy088	enemy088_st.spr	enemy088_st.spr	enemy088_pst.spr	enemy088_st.spr	enemy088_st.spr	enemy088_st.spr	enemy088_st.spr	enemy088_st.spr	enemy088_st.spr	enemy088_at.spr	enemy088_at.spr	
enemy089	enemy089_st.spr	enemy089_st.spr	enemy089_pst.spr									
