状态	文件名	类型	播放方式	主角身后开始帧	主角身后结束帧	动画总帧数	动画总方向数	动画帧间隔
状态1	style1.spr	头顶	循环			8	1	1
状态2	style2.spr	脚底	循环			8	1	1
状态3	style3.spr	身上	循环	10	20	8	1	1
状态4	style3.spr	身上	循环	10	20	8	1	1
状态5	style3.spr	身上	循环	10	20	8	1	1
状态6	style3.spr	身上	循环	10	20	8	1	1
状态7	style3.spr	身上	循环	10	20	8	1	1
状态8	style3.spr	身上	循环	10	20	8	1	1
状态9	style3.spr	身上	循环	10	20	8	1	1
状态10	style3.spr	身上	循环	10	20	8	1	1
状态11	style3.spr	身上	循环	10	20	8	1	1
状态12	style3.spr	身上	循环	10	20	8	1	1
状态13	style3.spr	身上	循环	10	20	8	1	1
状态14	style3.spr	身上	循环	10	20	8	1	1
状态15	style3.spr	身上	循环	10	20	8	1	1
状态16	style3.spr	身上	循环	10	20	8	1	1
状态17	style3.spr	身上	循环	10	20	8	1	1
状态18	style3.spr	身上	循环	10	20	8	1	1
状态19	style3.spr	身上	循环	10	20	8	1	1
状态20	style3.spr	身上	循环	10	20	8	1	1
状态21	style3.spr	身上	循环	10	20	8	1	1
状态22	style3.spr	身上	循环	10	20	8	1	1
状态23	style3.spr	身上	循环	10	20	8	1	1
状态24	style3.spr	身上	循环	10	20	8	1	1
状态25	style3.spr	身上	循环	10	20	8	1	1
状态26	style3.spr	身上	循环	10	20	8	1	1
状态27	style3.spr	身上	循环	10	20	8	1	1
状态28	style3.spr	身上	循环	10	20	8	1	1
状态29	style3.spr	身上	循环	10	20	8	1	1
状态30	style3.spr	身上	循环	10	20	8	1	1
状态31	style3.spr	身上	循环	10	20	8	1	1
状态32	style3.spr	身上	循环	10	20	8	1	1
状态33	style3.spr	身上	循环	10	20	8	1	1
状态34	style3.spr	身上	循环	10	20	8	1	1
状态35	style3.spr	身上	循环	10	20	8	1	1
状态36	style3.spr	身上	循环	10	20	8	1	1
状态37	style3.spr	身上	循环	10	20	8	1	1
状态38	style3.spr	身上	循环	10	20	8	1	1
状态39	style3.spr	身上	循环	10	20	8	1	1
状态40	style3.spr	身上	循环	10	20	8	1	1
状态41	style3.spr	身上	循环	10	20	8	1	1
状态42	style3.spr	身上	循环	10	20	8	1	1
状态43	style3.spr	身上	循环	10	20	8	1	1
状态44	style3.spr	身上	循环	10	20	8	1	1
状态45	style3.spr	身上	循环	10	20	8	1	1
状态46	style3.spr	身上	循环	10	20	8	1	1
状态47	style3.spr	身上	循环	10	20	8	1	1
状态48	style3.spr	身上	循环	10	20	8	1	1
状态49	style3.spr	身上	循环	10	20	8	1	1
状态50	style3.spr	身上	循环	10	20	8	1	1
状态51	style3.spr	身上	循环	10	20	8	1	1
状态52	style3.spr	身上	循环	10	20	8	1	1
状态53	style3.spr	身上	循环	10	20	8	1	1
状态54	style3.spr	身上	循环	10	20	8	1	1
状态55	style3.spr	身上	循环	10	20	8	1	1
状态56	style3.spr	身上	循环	10	20	8	1	1
状态57	style3.spr	身上	循环	10	20	8	1	1
状态58	style3.spr	身上	循环	10	20	8	1	1
状态59	style3.spr	身上	循环	10	20	8	1	1
状态60	style3.spr	身上	循环	10	20	8	1	1
状态61	style3.spr	身上	循环	10	20	8	1	1
状态62	style3.spr	身上	循环	10	20	8	1	1
状态63	style3.spr	身上	循环	10	20	8	1	1
状态64	style3.spr	身上	循环	10	20	8	1	1
