装备名称	空手站立1	空手站立2	空手站立3	短武器站立	长武器站立	双武器站立	空手走路	短武器走路	长武器走路	双武器走路	空手跑步	短武器跑步	长武器跑步	双武器跑步	空手受伤	短武器受伤	长武器受伤	双武器受伤	空手死亡	短武器死亡	长武器死亡	双武器死亡	空手攻击	短武器刺	短武器砍	长武器戳	长武器劈	双武器划	双武器砸	暗器投掷	空手魔法	短武器魔法	长武器魔法	双武器魔法	打坐	跳跃	骑马站立	骑马走动	骑马跑步	骑马攻击劈	骑马攻击刺	骑马魔法	骑马受伤	骑马死亡	骑马站立1	骑马站立2
空手	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1			88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
单手剑1	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1			88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
单手剑2	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1			88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
单手剑3	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1			88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
单手刀1	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1			88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
单手刀2	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1			88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
单手刀3	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1			88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
长枪类1	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1			88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
长枪类2	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1			88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
长枪类3	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1			88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
长棍类1	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1			88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
长棍类2	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1			88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
长棍类3	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1			88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
双剑类1	120,8,1	120,8,1	88,8,1	88,8,1		88,8,1	120,8,1	120,8,1		120,8,1	88,8,1	88,8,1		88,8,1	72,8,1	64,8,1		96,8,1	96,8,1	88,8,1		144,8,1	144,8,1	128,8,1	112,8,1			128,8,1	96,8,1	128,8,1	96,8,1	96,8,1		128,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
双剑类2	120,8,1	120,8,1	88,8,1	88,8,1		88,8,1	120,8,1	120,8,1		120,8,1	88,8,1	88,8,1		88,8,1	72,8,1	64,8,1		96,8,1	96,8,1	88,8,1		144,8,1	144,8,1	128,8,1	112,8,1			128,8,1	96,8,1	128,8,1	96,8,1	96,8,1		128,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
双剑类3	120,8,1	120,8,1	88,8,1	88,8,1		88,8,1	120,8,1	120,8,1		120,8,1	88,8,1	88,8,1		88,8,1	72,8,1	64,8,1		96,8,1	96,8,1	88,8,1		144,8,1	144,8,1	128,8,1	112,8,1			128,8,1	96,8,1	128,8,1	96,8,1	96,8,1		128,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
双锤类1	120,8,1	120,8,1	88,8,1	88,8,1		88,8,1	120,8,1	120,8,1		120,8,1	88,8,1	88,8,1		88,8,1	72,8,1	64,8,1		96,8,1	96,8,1	88,8,1		144,8,1	144,8,1	128,8,1	112,8,1			128,8,1	96,8,1	128,8,1	96,8,1	96,8,1		128,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
双锤类2	120,8,1	120,8,1	88,8,1	88,8,1		88,8,1	120,8,1	120,8,1		120,8,1	88,8,1	88,8,1		88,8,1	72,8,1	64,8,1		96,8,1	96,8,1	88,8,1		144,8,1	144,8,1	128,8,1	112,8,1			128,8,1	96,8,1	128,8,1	96,8,1	96,8,1		128,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
双锤类3	120,8,1	120,8,1	88,8,1	88,8,1		88,8,1	120,8,1	120,8,1		120,8,1	88,8,1	88,8,1		88,8,1	72,8,1	64,8,1		96,8,1	96,8,1	88,8,1		144,8,1	144,8,1	128,8,1	112,8,1			128,8,1	96,8,1	128,8,1	96,8,1	96,8,1		128,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
暗器	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1			88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
单手剑4	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1			88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
单手剑5	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1			88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
单手刀4	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1			88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
单手刀5	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1			88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
长枪类4	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1			88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
长枪类5	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1			88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
长棍类4	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1			88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
长棍类5	120,8,1	120,8,1	88,8,1	88,8,1			120,8,1	120,8,1			88,8,1	88,8,1			72,8,1	64,8,1			96,8,1	88,8,1			144,8,1	128,8,1	112,8,1					128,8,1	96,8,1	96,8,1			72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
双剑类4	120,8,1	120,8,1	88,8,1	88,8,1		88,8,1	120,8,1	120,8,1		120,8,1	88,8,1	88,8,1		88,8,1	72,8,1	64,8,1		96,8,1	96,8,1	88,8,1		144,8,1	144,8,1	128,8,1	112,8,1			128,8,1	96,8,1	128,8,1	96,8,1	96,8,1		128,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
双剑类5	120,8,1	120,8,1	88,8,1	88,8,1		88,8,1	120,8,1	120,8,1		120,8,1	88,8,1	88,8,1		88,8,1	72,8,1	64,8,1		96,8,1	96,8,1	88,8,1		144,8,1	144,8,1	128,8,1	112,8,1			128,8,1	96,8,1	128,8,1	96,8,1	96,8,1		128,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
双锤类4	120,8,1	120,8,1	88,8,1	88,8,1		88,8,1	120,8,1	120,8,1		120,8,1	88,8,1	88,8,1		88,8,1	72,8,1	64,8,1		96,8,1	96,8,1	88,8,1		144,8,1	144,8,1	128,8,1	112,8,1			128,8,1	96,8,1	128,8,1	96,8,1	96,8,1		128,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
双锤类5	120,8,1	120,8,1	88,8,1	88,8,1		88,8,1	120,8,1	120,8,1		120,8,1	88,8,1	88,8,1		88,8,1	72,8,1	64,8,1		96,8,1	96,8,1	88,8,1		144,8,1	144,8,1	128,8,1	112,8,1			128,8,1	96,8,1	128,8,1	96,8,1	96,8,1		128,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
