10	凤翔府	成都府	大理府	汴京府	襄阳府	扬州府	临安府	江津村	龙门镇	巴陵县	南岳镇	龙泉村
凤翔府	-1	20	-1	30	30	40	-1	30	-1	-1	-1	-1
成都府	20	-1	-1	30	30	40	-1	10	-1	-1	-1	-1
大理府	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
汴京府	30	30	-1	-1	20	30	-1	40	-1	-1	-1	-1
襄阳府	30	30	-1	20	-1	10	-1	40	-1	-1	-1	-1
扬州府	40	40	-1	30	10	-1	-1	50	-1	-1	-1	-1
临安府	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	20	20
江津村	30	10	-1	40	40	50	-1	-1	-1	-1	-1	-1
龙门镇	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
巴陵县	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	10	30
南岳镇	-1	-1	-1	-1	-1	-1	20	-1	-1	10	-1	20
龙泉村	-1	-1	-1	-1	-1	-1	20	-1	-1	30	20	-1
