ID	DESC	SECT	FightState
1	剑阁蜀道	3, 1150, 3716	1
2	秦陵西北	7, 2241, 2846	1
3	金光洞内洞洞口	4, 1597, 3283	1
4	经皇洞内洞洞口	5, 1800, 3413	1
5	经皇洞内洞洞口	5, 1597, 3213	1
6	经皇洞内洞洞口	5, 1689, 3338	1
7	金光洞洞口	3, 927, 4070	1
8	锁云洞洞口	6, 1658, 3314	1
9	金光洞内洞洞口	4, 1476, 2978	1
10	金光洞内洞洞口	4, 1646, 2902	1
11	金光洞内洞洞口	4, 1632, 3211	1
12	经皇洞洞口	19, 3484, 4070	1
13	锁云洞内洞洞口	6, 1641, 3194	1
14	锁云洞内洞洞口	6, 1508, 3084	1
15	锁云洞内洞洞口	6, 1384, 3286	1
16	金光洞内洞洞口	4, 1798, 3058	1
17	经皇洞内洞洞口	5, 1820, 3468	1
18	秦始皇陵地下一层	8, 1603, 3497	1
19	秦始皇陵地下入口	7, 2416, 2632	1
20	峨眉山脚下	13, 1820, 5365	1
21	雁石洞内洞洞口	10, 1605, 3211	1
22	雁石洞洞口	9, 2478, 5690	1
23	峨眉山脚下	13, 1820, 5365	1
24	雁石洞内洞洞口	10, 1605, 3211	1
25	雁石洞洞口	9, 2478, 5690	1
26	长江源头	9, 2395, 5540	1
27	剑阁蜀道	19, 3093, 3966	1
28	青城山山脚	21, 2617, 4497	1
29	唐家堡竹海	25, 3547, 5778	1
30	信相寺后院地道口	12, 1589, 3184	1
31	长江源头	9, 2157, 5643	1
32	猛虎洞洞口	14, 1590, 3214	1
33	经皇洞内洞洞口	5, 1580, 3665	1
34	白云洞洞口	21, 2852, 3887	1
35	白云洞内洞洞口	22, 1749, 3371	1
36	神仙洞内洞洞口	23, 1584, 3203	1
37	神仙洞内洞洞口	23, 1796, 3351	1
38	神仙洞内洞洞口	23, 1709, 3077	1
39	响水洞内洞洞口	24, 1692, 3189	1
40	神仙洞洞口	21, 1188, 3164	1
41	神仙洞洞口	21, 2072, 3862	1
42	神仙洞洞口	21, 2072, 3862	1
43	响水洞洞口	21, 1712, 3872	1
44	竹丝洞洞口	26, 1494, 3342	1
45	南岳镇	54, 1480, 2998	1
46	神农架	74, 1591, 3204	1
47	武陵山脚	70, 1608, 3230	1
48	南岳镇	54, 1612, 2971	1
49	衡山脚下	56, 1495, 3499	1
50	燕子洞内洞洞口	77, 1314, 3290	1
51	燕子洞内洞洞口	77, 1764, 3418	1
52	燕子洞内洞洞口	77, 1680, 3390	1
53	燕子洞内洞洞口	77, 1412, 3626	1
54	山宝洞内洞洞口	76, 1556, 2967	1
55	山宝洞内洞洞口	76, 1512, 3080	1
56	山宝洞内洞洞口	76, 1610, 2894	1
57	山宝洞内洞洞口	76, 1598, 3300	1
58	山宝洞内洞洞口	76, 1690, 2912	1
59	燕子洞内洞洞口	77, 1545, 3170	1
60	燕子洞内洞洞口	77, 1833, 3460	1
61	山宝洞内洞洞口	76, 1800, 2963	1
62	山宝洞内洞洞口	76, 1747, 3140	1
63	山宝洞洞口	74, 1746, 3080	1
64	山宝洞洞口	74, 1770, 3444	1
65	山宝洞洞口	74, 1870, 3167	1
66	山宝洞洞口	74, 1875, 3463	1
67	山宝洞洞口	74, 1810, 3384	1
68	蚩尤洞内洞洞口	75, 1670, 3346	1
69	蚩尤洞内洞洞口	75, 1604, 3265	1
70	燕子洞洞口	74, 1944, 3127	1
71	燕子洞洞口	74, 2045, 3377	1
72	燕子洞洞口	74, 2116, 3557	1
73	燕子洞洞口	74, 1989, 3692	1
74	蚩尤洞内洞洞口	75, 1810, 3011	1
75	蚩尤洞内洞洞口	75, 1868, 3072	1
76	青螺洞内洞洞口	69, 1605, 3200	1
77	洞庭湖底	66, 1892, 3104	1
78	天王洞内洞洞口	65, 1600, 3243	1
79	白水洞内洞洞口	71, 1699, 3026	1
80	白水洞内洞洞口	71, 1718, 3108	1
81	白水洞内洞洞口	71, 1736, 3211	1
82	伏流洞内洞洞口	73, 1596, 2810	1
83	伏流洞内洞洞口	73, 1630, 2983	1
84	伏流洞内洞洞口	73, 1541, 3072	1
85	大酋洞内洞洞口	72, 1695, 2870	1
86	大酋洞内洞洞口	72, 1605, 2962	1
87	大酋洞内洞洞口	72, 1802, 3092	1
88	大酋洞内洞洞口	72, 1658, 3308	1
89	白水洞洞口	70, 1643, 3045	1
90	白水洞洞口	70, 1822, 2952	1
91	白水洞洞口	70, 1962, 2927	1
92	伏流洞内洞洞口	73, 1595, 3205	1
93	大酋洞洞口	70, 1700, 2868	1
94	大酋洞洞口	70, 1560, 2860	1
95	大酋洞洞口	70, 1531, 2957	1
96	大酋洞洞口	70, 1350, 2495	1
97	大酋洞内洞洞口	72, 1738, 3208	1
98	大酋洞内洞洞口	72, 1577, 3045	1
99	大酋洞内洞洞口	72, 1717, 3109	1
100	大酋洞内洞洞口	72, 1698, 3025	1
101	伏流洞洞口	70, 1179, 2744	1
102	伏流洞洞口	70, 1223, 2902	1
103	伏流洞洞口	70, 1392, 2681	1
104	白水洞内洞洞口	71, 1657, 3310	1
105	伏牛山北麓	41, 1628, 3205	1
106	铁塔迷宫	38, 1603, 3204	1
107	天心洞内洞洞口	42, 1590, 3208	1
108	天心洞内洞洞口	42, 1616, 2896	1
109	天心洞内洞洞口	42, 1680, 2902	1
110	天心洞洞口	41, 1685, 3273	1
111	天心洞洞口	41, 1786, 3092	1
112	天心洞洞口	41, 1954, 2995	1
113	剑阁蜀道	43, 1696, 3203	1
114	鸡冠洞内洞洞口	91, 1598, 3208	1
115	鸡冠洞内洞洞口	91, 1794, 2858	1
116	锁云洞内洞洞口	6, 1459, 3125	1
117	天心洞内洞洞口	42, 1651, 3120	1
118	鸡冠洞内洞洞口	91, 1474, 2872	1
119	鸡冠洞内洞洞口	91, 1513, 2864	1
120	鸡冠洞内洞洞口	91, 1620, 2742	1
121	鸡冠洞内洞洞口	91, 1586, 3138	1
