1	凤翔府	成都府	大理府	汴京府	襄阳府	扬州府	临安府	江津村	龙门镇	巴陵县	南岳镇	龙泉村
华山脚下	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
剑阁蜀道	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
秦陵西北	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
金光洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
经皇洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
经皇洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
经皇洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
金光洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
锁云洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
金光洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
金光洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
金光洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
经皇洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
锁云洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
锁云洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
锁云洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
金光洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
经皇洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
秦始皇陵地下一层	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
秦始皇陵地下入口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
峨眉山脚下	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
雁石洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
雁石洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
峨眉山脚下	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
雁石洞内洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
雁石洞洞口	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
长江源头	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
剑阁蜀道	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
青城山山脚	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
唐家堡竹海	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
