商品编号	中文名称	道具种类	具体类别	详细类别	等级
1	金创药（小）	1	0	0	1
2	金创药（中）	1	0	0	2
3	金创药（大）	1	0	0	3
4	回天丹	1	0	0	4
5	九转还魂丹	1	0	0	5
6	凝神丹（小）	1	1	0	1
7	凝神丹（中）	1	1	0	2
8	凝神丹（大）	1	1	0	3
9	大补散	1	1	0	4
10	首乌还神丹	1	1	0	5
11	承仙蜜（小）	1	2	0	1
12	承仙蜜（中）	1	2	0	2
13	承仙蜜（大）	1	2	0	3
14	七巧补心丹	1	2	0	4
15	五花玉露丸	1	2	0	5
16	三花散	1	3	0	1
17	三花散	1	3	0	2
18	三花散	1	3	0	3
19	全果丸	1	3	0	4
20	全果丸	1	3	0	5
21	青牛解毒散	1	4	0	1
22	藿香正气丸	1	4	0	2
23	三顺散	1	4	0	3
24	银翘去毒丹	1	4	0	4
25	龙延化毒丹	1	4	0	5
26	剑1	0	0	0	1
27	剑2	0	0	0	2
28	剑3	0	0	0	3
29	剑4	0	0	0	4
30	剑5	0	0	0	5
31	剑6	0	0	0	6
32	剑7	0	0	0	7
33	剑8	0	0	0	8
34	剑9	0	0	0	9
35	剑10	0	0	0	10
36	刀1	0	0	1	1
37	刀2	0	0	1	2
38	刀3	0	0	1	3
39	刀4	0	0	1	4
40	刀5	0	0	1	5
41	刀6	0	0	1	6
42	刀7	0	0	1	7
43	刀8	0	0	1	8
44	刀9	0	0	1	9
45	刀10	0	0	1	10
46	棍1	0	0	2	1
47	棍2	0	0	2	2
48	棍3	0	0	2	3
49	棍4	0	0	2	4
50	棍5	0	0	2	5
51	棍6	0	0	2	6
52	棍7	0	0	2	7
53	棍8	0	0	2	8
54	棍9	0	0	2	9
55	棍10	0	0	2	10
56	枪1	0	0	3	1
57	枪2	0	0	3	2
58	枪3	0	0	3	3
59	枪4	0	0	3	4
60	枪5	0	0	3	5
61	枪6	0	0	3	6
62	枪7	0	0	3	7
63	枪8	0	0	3	8
64	枪9	0	0	3	9
65	枪10	0	0	3	10
66	双锤1	0	0	4	1
67	双锤2	0	0	4	2
68	双锤3	0	0	4	3
69	双锤4	0	0	4	4
70	双锤5	0	0	4	5
71	双锤6	0	0	4	6
72	双锤7	0	0	4	7
73	双锤8	0	0	4	8
74	双锤9	0	0	4	9
75	双锤10	0	0	4	10
76	双刀1	0	0	5	1
77	双刀2	0	0	5	2
78	双刀3	0	0	5	3
79	双刀4	0	0	5	4
80	双刀5	0	0	5	5
81	双刀6	0	0	5	6
