前后缀名称	是否前缀	五行属性要求	等级要求	属性调整类别	参数1最小值	参数1最大值	参数2最小值	参数2最大值	参数3最小值	参数3最大值	效果说明	近程武器	暗器	盔甲	戒指	项链	靴子	腰带	头盔	护腕	腰坠	马
青铜	1		1	126	5	10	-1	-1	6	6	加伤害强化	10000	10000	0	0	0	0	0	0	0	0	0
赤铜	1		2	126	10	20	-1	-1	6	6	加伤害强化	10000	10000	0	0	0	0	0	0	0	0	0
生铁	1		3	126	20	30	-1	-1	6	6	加伤害强化	10000	10000	0	0	0	0	0	0	0	0	0
精钢	1		4	126	30	40	-1	-1	6	6	加伤害强化	10000	10000	0	0	0	0	0	0	0	0	0
白银	1		5	126	40	50	-1	-1	6	6	加伤害强化	10000	10000	0	0	0	0	0	0	0	0	0
纯银	1		6	126	50	60	-1	-1	6	6	加伤害强化	10000	10000	0	0	0	0	0	0	0	0	0
黄金	1		7	126	60	70	-1	-1	6	6	加伤害强化	10000	10000	0	0	0	0	0	0	0	0	0
白金	1		8	126	70	80	-1	-1	6	6	加伤害强化	10000	10000	0	0	0	0	0	0	0	0	0
陨铁	1		9	126	80	90	-1	-1	6	6	加伤害强化	10000	10000	0	0	0	0	0	0	0	0	0
玄铁	1		10	126	90	100	-1	-1	6	6	加伤害强化	10000	10000	0	0	0	0	0	0	0	0	0
锋利	1		1	166	10	30	-1	-1	0	0	加命中率	100000	100000	0	0	0	0	0	0	0	0	0
美好	1		2	166	30	60	-1	-1	0	0	加命中率	100000	100000	0	0	0	0	0	0	0	0	0
武士	1		3	166	60	90	-1	-1	0	0	加命中率	100000	100000	0	0	0	0	0	0	0	0	0
侠客	1		4	166	90	120	-1	-1	0	0	加命中率	100000	100000	0	0	0	0	0	0	0	0	0
霸主	1		5	166	120	150	-1	-1	0	0	加命中率	100000	100000	0	0	0	0	0	0	0	0	0
国王	1		6	166	150	180	-1	-1	0	0	加命中率	100000	100000	0	0	0	0	0	0	0	0	0
君王	1		7	166	180	210	-1	-1	0	0	加命中率	100000	100000	0	0	0	0	0	0	0	0	0
霸王	1		8	166	210	240	-1	-1	0	0	加命中率	100000	100000	0	0	0	0	0	0	0	0	0
皇帝	1		9	166	240	270	-1	-1	0	0	加命中率	100000	100000	0	0	0	0	0	0	0	0	0
玉帝	1		10	166	270	300	-1	-1	0	0	加命中率	100000	100000	0	0	0	0	0	0	0	0	0
快速	1		2	115	10	10	-1	-1	0	0	加攻击速度	2000	2000	0	0	0	0	0	0	0	0	0
急速	1		5	115	20	20	-1	-1	0	0	加攻击速度	2000	2000	0	0	0	0	0	0	0	0	0
电速	1		9	115	30	30	-1	-1	0	0	加攻击速度	2000	2000	0	0	0	0	0	0	0	0	0
刺穿	1		10	58	1	1	-1	-1	0	0	忽略对手防御	1000	1000	0	0	0	0	0	0	0	0	0
永恒	1		10	43	1	1	-1	-1	0	0	永不磨损	100	100	100	0	0	100	100	100	100	0	0
结实	1		1	150	20	30	-1	-1	0	0	加防御强化	0	0	0	0	0	0	0	0	0	0	0
硬化	1		2	150	30	40	-1	-1	0	0	加防御强化	0	0	0	0	0	0	0	0	0	0	0
钢铁	1		3	150	40	50	-1	-1	0	0	加防御强化	0	0	0	0	0	0	0	0	0	0	0
坚固	1		4	150	50	60	-1	-1	0	0	加防御强化	0	0	0	0	0	0	0	0	0	0	0
坚强	1		5	150	60	70	-1	-1	0	0	加防御强化	0	0	0	0	0	0	0	0	0	0	0
圣洁	1		6	150	70	85	-1	-1	0	0	加防御强化	0	0	0	0	0	0	0	0	0	0	0
圣洁	1		7	150	85	110	-1	-1	0	0	加防御强化	0	0	0	0	0	0	0	0	0	0	0
祝福	1		8	150	110	150	-1	-1	0	0	加防御强化	0	0	0	0	0	0	0	0	0	0	0
祝福	1		9	150	150	200	-1	-1	0	0	加防御强化	0	0	0	0	0	0	0	0	0	0	0
神佑	1		10	150	200	250	-1	-1	0	0	加防御强化	0	0	0	0	0	0	0	0	0	0	0
快速	1		2	111	10	15	-1	-1	0	0	加快走路/跑步速度	0	0	0	0	0	20000	0	0	0	0	0
勿忙	1		4	111	15	20	-1	-1	0	0	加快走路/跑步速度	0	0	0	0	0	20000	0	0	0	0	0
迅速	1		6	111	20	25	-1	-1	0	0	加快走路/跑步速度	0	0	0	0	0	20000	0	0	0	0	0
飞翔	1		8	111	25	30	-1	-1	0	0	加快走路/跑步速度	0	0	0	0	0	20000	0	0	0	0	0
夸父	1		10	111	30	40	-1	-1	0	0	加快走路/跑步速度	0	0	0	0	0	20000	0	0	0	0	0
荆刺	1		3	117	1	10	-1	-1	0	0	反弹物理攻击	0	0	1000	0	0	0	0	0	0	0	0
倒刺	1		9	117	10	20	-1	-1	0	0	反弹物理攻击	0	0	1000	0	0	0	0	0	0	0	0
天平	1		3	113	20	20	-1	-1	0	0	快速打击回复	0	0	2500	0	0	0	0	0	0	0	0
稳定	1		6	113	30	30	-1	-1	0	0	快速打击回复	0	0	2500	0	0	0	0	0	0	0	0
均衡	1		9	113	40	40	-1	-1	0	0	快速打击回复	0	0	2500	0	0	0	0	0	0	0	0
光明	1		1	112	1	1	-1	-1	0	0	加黑暗处视野范围	0	0	0	0	0	0	0	0	0	0	0
明亮	1		2	112	2	2	-1	-1	0	0	加黑暗处视野范围	0	0	0	0	0	0	0	0	0	0	0
发光	1		3	112	3	3	-1	-1	0	0	加黑暗处视野范围	0	0	0	0	0	0	0	0	0	0	0
闪烁	1		4	112	4	4	-1	-1	0	0	加黑暗处视野范围	0	0	0	0	0	0	0	0	0	0	0
光辉	1		5	112	5	5	-1	-1	0	0	加黑暗处视野范围	0	0	0	0	0	0	0	0	0	0	0
太阳	1		6	112	6	6	-1	-1	0	0	加黑暗处视野范围	0	0	0	0	0	0	0	0	0	0	0
大师	1		5	139	1	1	-1	-1	0	0	加技能	0	0	0	1000	1000	0	0	0	0	1000	0
宗师	1		10	139	2	2	-1	-1	0	0	加技能	0	0	0	1000	1000	0	0	0	0	1000	0
清醒	1		4	110	100	100	-1	-1	0	0	免疫眩晕状态	0	0	0	20	20	0	0	0	0	20	0
菱镜	1		1	114	1	2	-1	-1	0	0	加四防	0	0	0	0	1000	0	0	0	0	0	0
彩虹	1		2	114	2	4	-1	-1	0	0	加四防	0	0	0	0	900	0	0	0	0	0	0
七彩	1		3	114	4	6	-1	-1	0	0	加四防	0	0	0	0	800	0	0	0	0	0	0
光芒	1		4	114	6	8	-1	-1	0	0	加四防	0	0	0	0	700	0	0	0	0	0	0
闪亮	1		5	114	8	10	-1	-1	0	0	加四防	0	0	0	0	600	0	0	0	0	0	0
