等级	下一级经验	升级需要经验
1	50	50
2	160	110
3	360	200
4	660	300
5	1110	450
6	1790	680
7	2750	960
8	4050	1300
9	5900	1850
10	8300	2400
11	10880	2580
12	13640	2760
13	16590	2950
14	19750	3160
15	23140	3390
16	26770	3630
17	30670	3900
18	34830	4160
19	39290	4460
20	44070	4780
21	49220	5150
22	54700	5480
23	60570	5870
24	66860	6290
25	73600	6740
26	80820	7220
27	88550	7730
28	96830	8280
29	105700	8870
30	115200	9500
31	125380	10180
32	136280	10900
33	147960	11680
34	160460	12500
35	173860	13400
36	188210	14350
37	203590	15380
38	220060	16470
39	237700	17640
40	256600	18900
41	276840	20240
42	298520	21680
43	321750	23230
44	346640	24890
45	373290	26650
46	401840	28550
47	432420	30580
48	465180	32760
49	500270	35090
50	537860	37590
51	578130	40270
52	621300	43170
53	667500	46200
54	716990	49490
55	770010	53020
56	826800	56790
57	887640	60840
58	952810	65170
59	1022620	69810
60	1097400	74780
61	1181350	83950
62	1275600	94250
63	1381420	105820
64	1500220	118800
65	1633590	133370
66	1783330	149740
67	1951440	168110
68	2140180	188740
69	2352080	211900
70	2589980	237900
71	2857060	267080
72	3156920	299860
73	3493570	336650
74	3871520	377950
75	4295850	424330
76	4772240	476390
77	5307080	534840
78	5907550	600470
79	6581700	674150
80	7338560	756860
81	8188290	849730
82	9142280	953990
83	10213320	1071040
84	11415780	1202460
85	12765780	1350000
86	14281430	1515650
87	15983040	1701610
88	17893440	1910400
89	20038250	2144810
90	22446230	2407980
91	25149660	2703430
92	28184800	3035140
93	31592360	3407560
94	35418020	3825660
95	39713090	4295070
96	44535160	4822070
97	49948900	5413740
98	56026910	6078010
99	62850690	6823780
100	70652320	7801630
101	79571920	8919600
102	89769700	10197780
103	101428820	11659120
104	114758690	13329870
105	129998730	15240040
106	147422660	17423930
107	167343440	19920780
108	190118870	22775430
109	216158020	26039150
110	245928580	29770560
111	279965260	34036680
112	318879390	38914130
113	363369910	44490520
114	414235930	50866020
115	472391040	58155110
116	538879780	66488740
117	614896360	76016580
118	701806110	86909750
119	801170030	99363920
120	914772800	113602770
121	1044654850	129882050
122	1193148990	148494140
123	1362922340	169773350
124	1557024210	194101870
125	1778940880	221916670
126	2032658210	253717330
127	2322733230	290075020
128	2654376000	331642770
129	3033543180	379167180
130	3467045010	433501830
131	3962667660	495622650
132	4529313030	566645370
133	5177158680	647845650
134	5917840610	740681930
135	6764662260	846821650
136	7732833450	968171190
137	8839743570	1106910120
138	10105273910	1265530340
139	11552154750	1446880840
140	13206373620	1654218870
141	15097642050	1891268430
142	17259929240	2162287190
143	19732072190	2472142950
144	22558473220	2826401030
145	25789897520	3231424300
146	29484384920	3694487400
147	33708292360	4223907440
148	38537485740	4829193380
149	44058702530	5521216790
150	50371109690	6312407160
151	57588084790	7216975100
152	65839252420	8251167630
153	75272812370	9433559950
154	86058201460	10785389090
155	98389136810	12330935350
156	1.12487E+11	14097958390
157	1.28605E+11	16118195820
158	1.47033E+11	18427933280
159	1.68102E+11	21068656120
160	1.9219E+11	24087794540
161	2.19729E+11	27539575500
162	2.51215E+11	31485996670
163	2.87213E+11	35997939990
164	3.2837E+11	41156444790
165	3.75424E+11	47054163330
166	4.29221E+11	53797024930
167	4.90727E+11	61506138600
168	5.61047E+11	70319968260
169	6.41444E+11	80396819720
170	7.33361E+11	91917683980
171	8.38451E+11	1.05E+11
172	9.586E+11	1.20E+11
173	1.09597E+12	1.37E+11
174	1.25302E+12	1.57E+11
175	1.43257E+12	1.80E+11
176	1.63786E+12	2.05E+11
177	1.87256E+12	2.35E+11
178	2.1409E+12	2.68E+11
179	2.44769E+12	3.07E+11
180	2.79844E+12	3.51E+11
181	3.19946E+12	4.01E+11
182	3.65794E+12	4.58E+11
183	4.18212E+12	5.24E+11
184	4.78142E+12	5.99E+11
185	5.46659E+12	6.85E+11
186	6.24996E+12	7.83E+11
187	7.14557E+12	8.96E+11
188	8.16953E+12	1.02E+12
189	9.34023E+12	1.17E+12
190	1.06787E+13	1.34E+12
191	1.22089E+13	1.53E+12
192	1.39585E+13	1.75E+12
193	1.59587E+13	2.00E+12
194	1.82456E+13	2.29E+12
195	2.08602E+13	2.61E+12
196	2.38495E+13	2.99E+12
197	2.72671E+13	3.42E+12
198	3.11745E+13	3.91E+12
199	3.56418E+13	4.47E+12
200	4.07492E+13	5.11E+12
