等级	升级需要经验
1	100
2	500
3	1100
4	1900
5	2900
6	4100
7	5500
8	7100
9	8900
10	10900
11	13100
12	15700
13	18700
14	22100
15	25900
16	30100
17	34700
18	39700
19	45100
20	50900
21	57100
22	63900
23	71300
24	79300
25	87900
26	97100
27	106900
28	117300
29	128300
30	139900
31	152100
32	165400
33	179800
34	195300
35	211900
36	229600
37	248400
38	268300
39	289300
40	311400
41	334600
42	360400
43	388800
44	419800
45	453400
46	489600
47	528400
48	569800
49	613800
50	660400
51	709600
52	766000
53	829600
54	900400
55	978400
56	1063600
57	1156000
58	1255600
59	1362400
60	1476400
61	1597600
62	1738200
63	1898200
64	2077600
65	2276400
66	2494600
67	2732200
68	2989200
69	3265600
70	3561400
71	3876600
72	4240200
73	4652200
74	5112600
75	5621400
76	6178600
77	6784200
78	7438200
79	8140600
80	8891400
81	9690600
82	10600800
83	11622000
84	12754200
85	13997400
86	15351600
87	16816800
88	18393000
89	20080200
90	21878400
91	23787600
92	25933000
93	28314600
94	30932400
95	33786400
96	36876600
97	40203000
98	43765600
99	47564400
100	51599400
101	55870600
102	60612900
103	65826300
104	71510800
105	77666400
106	84293100
107	91390900
108	98959800
109	106999800
110	115510900
111	124493100
112	134364600
113	145125400
114	156775500
115	169314900
116	182743600
117	197061600
118	212268900
119	228365500
120	245351400
121	263226600
122	282703200
123	303781200
124	326460600
125	350741400
126	376623600
127	404107200
128	433192200
129	463878600
130	496166400
131	5300556000
132	5300556000
133	5300556000
134	5300556000
135	5300556000
136	5300556000
137	5300556000
138	5300556000
139	5300556000
140	5300556000
141	5300556000
142	5300556000
143	5300556000
144	5300556000
145	5300556000
146	5300556000
147	5300556000
148	5300556000
149	5300556000
150	5300556000
151	5300556000
152	5300556000
153	5300556000
154	5300556000
155	5300556000
156	5300556000
157	5300556000
158	5300556000
159	5300556000
160	5300556000
161	5300556000
162	5300556000
163	5300556000
164	5300556000
165	5300556000
166	5300556000
167	5300556000
168	5300556000
169	5300556000
170	5300556000
171	5300556000
172	5300556000
173	5300556000
174	5300556000
175	5300556000
176	5300556000
177	5300556000
178	5300556000
179	5300556000
180	5300556000
181	5300556000
182	5300556000
183	5300556000
184	5300556000
185	5300556000
186	5300556000
187	5300556000
188	5300556000
189	5300556000
190	5300556000
191	5300556000
192	5300556000
193	5300556000
194	5300556000
195	5300556000
196	5300556000
197	5300556000
198	5300556000
199	5300556000
200	5300556000
