具体类别	详细类别	对应物理技能编号
-1	0	53
0	0	53
0	0	53
0	0	53
0	0	53
0	0	53
0	0	53
0	0	53
0	0	53
0	0	53
0	0	53
0	1	53
0	1	53
0	1	53
0	1	53
0	1	53
0	1	53
0	1	53
0	1	53
0	1	53
0	1	53
0	2	1
0	2	1
0	2	1
0	2	1
0	2	1
0	2	1
0	2	1
0	2	1
0	2	1
0	2	1
0	3	1
0	3	1
0	3	1
0	3	1
0	3	1
0	3	1
0	3	1
0	3	1
0	3	1
0	3	1
0	4	53
0	4	53
0	4	53
0	4	53
0	4	53
0	4	53
0	4	53
0	4	53
0	4	53
0	4	53
0	5	53
0	5	53
0	5	53
0	5	53
0	5	53
0	5	53
0	5	53
0	5	53
0	5	53
0	5	53
1	0	2
1	0	2
1	0	2
1	0	2
1	0	2
1	0	2
1	0	2
1	0	2
1	0	2
1	0	2
1	1	2
1	1	2
1	1	2
1	1	2
1	1	2
1	1	2
1	1	2
1	1	2
1	1	2
1	1	2
1	2	2
1	2	2
1	2	2
1	2	2
1	2	2
1	2	2
1	2	2
1	2	2
1	2	2
1	2	2
